"name_1006","freq","ensembl_gene_id","go_id","definition_1006","namespace_1003"
"methylation",4,"ENSG00000142611","GO:0032259","The process in which a methyl group is covalently attached to a molecule.","biological_process"
"methyltransferase activity",4,"ENSG00000117543","GO:0008168","Catalysis of the transfer of a methyl group to an acceptor molecule.","molecular_function"
"mitochondrion",11,"ENSG00000162851","GO:0005739","A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration.","cellular_component"
"nuclear body",7,"ENSG00000064961","GO:0016604","Extra-nucleolar nuclear domains usually visualized by confocal microscopy and fluorescent antibodies to specific proteins.","cellular_component"
"nucleic acid binding",4,"ENSG00000065427","GO:0003676","Binding to a nucleic acid.","molecular_function"
"nucleolus",4,"ENSG00000141456","GO:0005730","A small, dense body one or more of which are present in the nucleus of eukaryotic cells. It is rich in RNA and protein, is not bounded by a limiting membrane, and is not seen during mitosis. Its prime function is the transcription of the nucleolar DNA into 45S ribosomal-precursor RNA, the processing of this RNA into 5.8S, 18S, and 28S components of ribosomal RNA, and the association of these components with 5S RNA and proteins synthesized outside the nucleolus. This association results in the formation of ribonucleoprotein precursors; these pass into the cytoplasm and mature into the 40S and 60S subunits of the ribosome.","cellular_component"
"nucleoplasm",30,"ENSG00000119383","GO:0005654","That part of the nuclear content other than the chromosomes or the nucleolus.","cellular_component"
"nucleus",35,"ENSG00000169220","GO:0005634","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.","cellular_component"
"plasma membrane",40,"ENSG00000198734","GO:0005886","The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins.","cellular_component"
"positive regulation of cell population proliferation",4,"ENSG00000213699","GO:0008284","Any process that activates or increases the rate or extent of cell proliferation.","biological_process"
"positive regulation of DNA-templated transcription",4,"ENSG00000142611","GO:0045893","Any process that activates or increases the frequency, rate or extent of cellular DNA-templated transcription.","biological_process"
"positive regulation of gene expression",4,"ENSG00000051382","GO:0010628","Any process that increases the frequency, rate or extent of gene expression. Gene expression is the process in which a gene's coding sequence is converted into a mature gene product (protein or RNA).","biological_process"
"positive regulation of transcription by RNA polymerase II",4,"ENSG00000128342","GO:0045944","Any process that activates or increases the frequency, rate or extent of transcription from an RNA polymerase II promoter.","biological_process"
"postsynaptic density",4,"ENSG00000198010","GO:0014069","An electron dense network of proteins within and adjacent to the postsynaptic membrane of an asymmetric, neuron-neuron synapse. Its major components include neurotransmitter receptors and the proteins that spatially and functionally organize them such as anchoring and scaffolding molecules, signaling enzymes and cytoskeletal components.","cellular_component"
"presynapse",4,"ENSG00000136279","GO:0098793","The part of a synapse that is part of the presynaptic cell.","cellular_component"
"protein binding",80,"ENSG00000172893","GO:0005515","Binding to a protein.","molecular_function"
"protein homodimerization activity",7,"ENSG00000147601","GO:0042803","Binding to an identical protein to form a homodimer.","molecular_function"
"protein kinase activity",5,"ENSG00000160469","GO:0004672","Catalysis of the phosphorylation of an amino acid residue in a protein, usually according to the reaction: a protein + ATP = a phosphoprotein + ADP.","molecular_function"
"protein phosphorylation",5,"ENSG00000086232","GO:0006468","The process of introducing a phosphate group on to a protein.","biological_process"
"protein serine kinase activity",6,"ENSG00000160469","GO:0106310","Catalysis of the reactions: ATP + protein serine = ADP + protein serine phosphate.","molecular_function"
"protein serine/threonine kinase activity",5,"ENSG00000109339","GO:0004674","Catalysis of the reactions: ATP + protein serine = ADP + protein serine phosphate, and ATP + protein threonine = ADP + protein threonine phosphate.","molecular_function"
"protein transport",6,"ENSG00000148356","GO:0015031","The directed movement of proteins into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.","biological_process"
"proteolysis",8,"ENSG00000074603","GO:0006508","The hydrolysis of proteins into smaller polypeptides and/or amino acids by cleavage of their peptide bonds.","biological_process"
"regulation of DNA-templated transcription",4,"ENSG00000163346","GO:0006355","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription.","biological_process"
"regulation of transcription by RNA polymerase II",5,"ENSG00000142611","GO:0006357","Any process that modulates the frequency, rate or extent of transcription mediated by RNA polymerase II.","biological_process"
"RNA binding",8,"ENSG00000092345","GO:0003723","Binding to an RNA molecule or a portion thereof.","molecular_function"
"signal transduction",4,"ENSG00000109339","GO:0007165","The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell.","biological_process"
"signaling receptor binding",6,"ENSG00000110888","GO:0005102","Binding to one or more specific sites on a receptor molecule, a macromolecule that undergoes combination with a hormone, neurotransmitter, drug or intracellular messenger to initiate a change in cell function.","molecular_function"
"spermatogenesis",6,"ENSG00000159409","GO:0007283","The developmental process by which male germ line stem cells self renew or give rise to successive cell types resulting in the development of a spermatozoa.","biological_process"
"synapse",11,"ENSG00000069188","GO:0045202","The junction between an axon of one neuron and a dendrite of another neuron, a muscle fiber or a glial cell. As the axon approaches the synapse it enlarges into a specialized structure, the presynaptic terminal bouton, which contains mitochondria and synaptic vesicles. At the tip of the terminal bouton is the presynaptic membrane; facing it, and separated from it by a minute cleft (the synaptic cleft) is a specialized area of membrane on the receiving cell, known as the postsynaptic membrane. In response to the arrival of nerve impulses, the presynaptic terminal bouton secretes molecules of neurotransmitters into the synaptic cleft. These diffuse across the cleft and transmit the signal to the postsynaptic membrane.","cellular_component"
"transcription coregulator activity",4,"ENSG00000152104","GO:0003712","A transcription regulator activity that modulates the transcription of specific gene sets via binding to a DNA-bound DNA-binding transcription factor, either on its own or as part of a complex. Coregulators often act by altering chromatin structure and modifications. For example, one class of transcription coregulators modifies chromatin structure through covalent modification of histones. A second class remodels the conformation of chromatin in an ATP-dependent fashion. A third class modulates interactions of DNA-bound DNA-binding transcription factors with other transcription coregulators.","molecular_function"
"zinc ion binding",6,"ENSG00000137871","GO:0008270","Binding to a zinc ion (Zn).","molecular_function"
